datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,RFC,MIDATL,BC,BC,3131.964,True
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,RFC,MIDATL,BC,BC,3091.413,True
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,RFC,MIDATL,BC,BC,2999.455,True
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,RFC,MIDATL,BC,BC,3016.362,True
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,RFC,MIDATL,BC,BC,3002.976,True
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,RFC,MIDATL,BC,BC,3073.333,True
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,RFC,MIDATL,BC,BC,3069.464,True
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,RFC,MIDATL,BC,BC,3084.015,True
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,RFC,MIDATL,BC,BC,3189.291,True
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,RFC,MIDATL,BC,BC,3219.428,True
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,RFC,MIDATL,BC,BC,3136.444,True
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,RFC,MIDATL,BC,BC,3028.427,True
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,RFC,MIDATL,BC,BC,2970.324,True
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,RFC,MIDATL,BC,BC,2977.679,True
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,RFC,MIDATL,BC,BC,2911.874,True
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,RFC,MIDATL,BC,BC,2938.765,True
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,RFC,MIDATL,BC,BC,3153.803,True
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,RFC,MIDATL,BC,BC,3473.659,True
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,RFC,MIDATL,BC,BC,3607.918,True
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,RFC,MIDATL,BC,BC,3591.802,True
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,RFC,MIDATL,BC,BC,3614.730,True
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,RFC,MIDATL,BC,BC,3492.708,True
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,RFC,MIDATL,BC,BC,3347.638,True
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,RFC,MIDATL,BC,BC,3185.690,True
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,RFC,MIDATL,BC,BC,2957.278,True
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,RFC,MIDATL,BC,BC,2858.480,True
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,RFC,MIDATL,BC,BC,2868.052,True
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,RFC,MIDATL,BC,BC,2885.895,True
1/2/2017 9:00:00 AM,1/2/2017 4:00:00 AM,RFC,MIDATL,BC,BC,2906.894,True
1/2/2017 10:00:00 AM,1/2/2017 5:00:00 AM,RFC,MIDATL,BC,BC,3004.658,True
1/2/2017 11:00:00 AM,1/2/2017 6:00:00 AM,RFC,MIDATL,BC,BC,3353.458,True
1/2/2017 12:00:00 PM,1/2/2017 7:00:00 AM,RFC,MIDATL,BC,BC,3358.687,True
1/2/2017 1:00:00 PM,1/2/2017 8:00:00 AM,RFC,MIDATL,BC,BC,3455.316,True
1/2/2017 2:00:00 PM,1/2/2017 9:00:00 AM,RFC,MIDATL,BC,BC,3485.683,True
1/2/2017 3:00:00 PM,1/2/2017 10:00:00 AM,RFC,MIDATL,BC,BC,3733.859,True
1/2/2017 4:00:00 PM,1/2/2017 11:00:00 AM,RFC,MIDATL,BC,BC,3737.309,True
1/2/2017 5:00:00 PM,1/2/2017 12:00:00 PM,RFC,MIDATL,BC,BC,3712.206,True
1/2/2017 6:00:00 PM,1/2/2017 1:00:00 PM,RFC,MIDATL,BC,BC,3686.689,True
1/2/2017 7:00:00 PM,1/2/2017 2:00:00 PM,RFC,MIDATL,BC,BC,3678.239,True
1/2/2017 8:00:00 PM,1/2/2017 3:00:00 PM,RFC,MIDATL,BC,BC,3708.366,True
1/2/2017 9:00:00 PM,1/2/2017 4:00:00 PM,RFC,MIDATL,BC,BC,3873.433,True
1/2/2017 10:00:00 PM,1/2/2017 5:00:00 PM,RFC,MIDATL,BC,BC,4124.242,True
1/2/2017 11:00:00 PM,1/2/2017 6:00:00 PM,RFC,MIDATL,BC,BC,4029.146,True
1/3/2017 12:00:00 AM,1/2/2017 7:00:00 PM,RFC,MIDATL,BC,BC,3997.786,True
1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,RFC,MIDATL,BC,BC,3924.681,True
1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,RFC,MIDATL,BC,BC,3708.388,True
1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,RFC,MIDATL,BC,BC,3383.908,True
1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,RFC,MIDATL,BC,BC,3136.329,True
1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,RFC,MIDATL,BC,BC,2933.631,True
1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,RFC,MIDATL,BC,BC,2827.676,True
1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,RFC,MIDATL,BC,BC,2885.554,True
1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,RFC,MIDATL,BC,BC,2900.533,True
1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,RFC,MIDATL,BC,BC,3055.866,True
1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,RFC,MIDATL,BC,BC,3214.052,True
1/3/2017 11:00:00 AM,1/3/2017 6:00:00 AM,RFC,MIDATL,BC,BC,3655.220,True
1/3/2017 12:00:00 PM,1/3/2017 7:00:00 AM,RFC,MIDATL,BC,BC,3880.017,True
1/3/2017 1:00:00 PM,1/3/2017 8:00:00 AM,RFC,MIDATL,BC,BC,3805.049,True
1/3/2017 2:00:00 PM,1/3/2017 9:00:00 AM,RFC,MIDATL,BC,BC,3854.180,True
1/3/2017 3:00:00 PM,1/3/2017 10:00:00 AM,RFC,MIDATL,BC,BC,3846.705,True
1/3/2017 4:00:00 PM,1/3/2017 11:00:00 AM,RFC,MIDATL,BC,BC,3873.230,True
1/3/2017 5:00:00 PM,1/3/2017 12:00:00 PM,RFC,MIDATL,BC,BC,3799.210,True
1/3/2017 6:00:00 PM,1/3/2017 1:00:00 PM,RFC,MIDATL,BC,BC,3849.234,True
1/3/2017 7:00:00 PM,1/3/2017 2:00:00 PM,RFC,MIDATL,BC,BC,3722.644,True
1/3/2017 8:00:00 PM,1/3/2017 3:00:00 PM,RFC,MIDATL,BC,BC,3676.646,True
1/3/2017 9:00:00 PM,1/3/2017 4:00:00 PM,RFC,MIDATL,BC,BC,3850.109,True
1/3/2017 10:00:00 PM,1/3/2017 5:00:00 PM,RFC,MIDATL,BC,BC,4059.450,True
1/3/2017 11:00:00 PM,1/3/2017 6:00:00 PM,RFC,MIDATL,BC,BC,4042.039,True
1/4/2017 12:00:00 AM,1/3/2017 7:00:00 PM,RFC,MIDATL,BC,BC,4075.258,True
1/4/2017 1:00:00 AM,1/3/2017 8:00:00 PM,RFC,MIDATL,BC,BC,3908.470,True
1/4/2017 2:00:00 AM,1/3/2017 9:00:00 PM,RFC,MIDATL,BC,BC,3731.405,True
1/4/2017 3:00:00 AM,1/3/2017 10:00:00 PM,RFC,MIDATL,BC,BC,3346.236,True
1/4/2017 4:00:00 AM,1/3/2017 11:00:00 PM,RFC,MIDATL,BC,BC,3175.078,True
1/4/2017 5:00:00 AM,1/4/2017 12:00:00 AM,RFC,MIDATL,BC,BC,2914.668,True
1/4/2017 6:00:00 AM,1/4/2017 1:00:00 AM,RFC,MIDATL,BC,BC,2797.083,True
1/4/2017 7:00:00 AM,1/4/2017 2:00:00 AM,RFC,MIDATL,BC,BC,2834.148,True
1/4/2017 8:00:00 AM,1/4/2017 3:00:00 AM,RFC,MIDATL,BC,BC,2827.610,True
1/4/2017 9:00:00 AM,1/4/2017 4:00:00 AM,RFC,MIDATL,BC,BC,2919.689,True
1/4/2017 10:00:00 AM,1/4/2017 5:00:00 AM,RFC,MIDATL,BC,BC,3124.220,True
1/4/2017 11:00:00 AM,1/4/2017 6:00:00 AM,RFC,MIDATL,BC,BC,3676.132,True
1/4/2017 12:00:00 PM,1/4/2017 7:00:00 AM,RFC,MIDATL,BC,BC,3682.887,True
1/4/2017 1:00:00 PM,1/4/2017 8:00:00 AM,RFC,MIDATL,BC,BC,3559.559,True
1/4/2017 2:00:00 PM,1/4/2017 9:00:00 AM,RFC,MIDATL,BC,BC,3565.698,True
1/4/2017 3:00:00 PM,1/4/2017 10:00:00 AM,RFC,MIDATL,BC,BC,3612.885,True
1/4/2017 4:00:00 PM,1/4/2017 11:00:00 AM,RFC,MIDATL,BC,BC,3495.217,True
1/4/2017 5:00:00 PM,1/4/2017 12:00:00 PM,RFC,MIDATL,BC,BC,3372.236,True
1/4/2017 6:00:00 PM,1/4/2017 1:00:00 PM,RFC,MIDATL,BC,BC,3270.601,True
1/4/2017 7:00:00 PM,1/4/2017 2:00:00 PM,RFC,MIDATL,BC,BC,3288.407,True
1/4/2017 8:00:00 PM,1/4/2017 3:00:00 PM,RFC,MIDATL,BC,BC,3363.124,True
