datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2018 4:00:00 AM,12/31/2017 11:00:00 PM,RFC,3874.701
1/1/2018 3:00:00 AM,12/31/2017 10:00:00 PM,RFC,4346.317
1/1/2018 2:00:00 AM,12/31/2017 9:00:00 PM,RFC,4357.133
1/1/2018 1:00:00 AM,12/31/2017 8:00:00 PM,RFC,4244.916
1/1/2018 12:00:00 AM,12/31/2017 7:00:00 PM,RFC,3856.985
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,RFC,3244.247
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,RFC,2513.580
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,RFC,1922.963
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,RFC,1614.440
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,RFC,1488.720
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,RFC,1423.862
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,RFC,1497.343
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,RFC,1544.682
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,RFC,1508.031
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,RFC,1391.387
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,RFC,1130.482
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,RFC,1080.181
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,RFC,1415.319
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,RFC,1698.569
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,RFC,1967.004
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,RFC,1927.496
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,RFC,1881.394
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,RFC,1987.541
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,RFC,2091.277
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,RFC,2136.609
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,RFC,2798.207
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,RFC,3371.906
12/31/2017 1:00:00 AM,12/30/2017 8:00:00 PM,RFC,3937.864
12/31/2017 12:00:00 AM,12/30/2017 7:00:00 PM,RFC,4490.128
12/30/2017 11:00:00 PM,12/30/2017 6:00:00 PM,RFC,4714.908
12/30/2017 10:00:00 PM,12/30/2017 5:00:00 PM,RFC,4455.211
12/30/2017 9:00:00 PM,12/30/2017 4:00:00 PM,RFC,4202.693
12/30/2017 8:00:00 PM,12/30/2017 3:00:00 PM,RFC,4239.340
12/30/2017 7:00:00 PM,12/30/2017 2:00:00 PM,RFC,4481.827
12/30/2017 6:00:00 PM,12/30/2017 1:00:00 PM,RFC,5002.339
12/30/2017 5:00:00 PM,12/30/2017 12:00:00 PM,RFC,5515.461
12/30/2017 4:00:00 PM,12/30/2017 11:00:00 AM,RFC,5528.580
12/30/2017 3:00:00 PM,12/30/2017 10:00:00 AM,RFC,5411.503
12/30/2017 2:00:00 PM,12/30/2017 9:00:00 AM,RFC,5505.352
12/30/2017 1:00:00 PM,12/30/2017 8:00:00 AM,RFC,5320.306
12/30/2017 12:00:00 PM,12/30/2017 7:00:00 AM,RFC,4890.542
12/30/2017 11:00:00 AM,12/30/2017 6:00:00 AM,RFC,4279.131
12/30/2017 10:00:00 AM,12/30/2017 5:00:00 AM,RFC,3529.541
12/30/2017 9:00:00 AM,12/30/2017 4:00:00 AM,RFC,2558.885
12/30/2017 8:00:00 AM,12/30/2017 3:00:00 AM,RFC,1710.520
12/30/2017 7:00:00 AM,12/30/2017 2:00:00 AM,RFC,1154.939
12/30/2017 6:00:00 AM,12/30/2017 1:00:00 AM,RFC,714.716
12/30/2017 5:00:00 AM,12/30/2017 12:00:00 AM,RFC,432.809
12/30/2017 4:00:00 AM,12/29/2017 11:00:00 PM,RFC,314.882
12/30/2017 3:00:00 AM,12/29/2017 10:00:00 PM,RFC,265.201
12/30/2017 2:00:00 AM,12/29/2017 9:00:00 PM,RFC,292.482
12/30/2017 1:00:00 AM,12/29/2017 8:00:00 PM,RFC,388.712
12/30/2017 12:00:00 AM,12/29/2017 7:00:00 PM,RFC,405.160
12/29/2017 11:00:00 PM,12/29/2017 6:00:00 PM,RFC,472.917
12/29/2017 10:00:00 PM,12/29/2017 5:00:00 PM,RFC,641.223
12/29/2017 9:00:00 PM,12/29/2017 4:00:00 PM,RFC,723.030
12/29/2017 8:00:00 PM,12/29/2017 3:00:00 PM,RFC,988.388
12/29/2017 7:00:00 PM,12/29/2017 2:00:00 PM,RFC,1241.184
12/29/2017 6:00:00 PM,12/29/2017 1:00:00 PM,RFC,1383.965
12/29/2017 5:00:00 PM,12/29/2017 12:00:00 PM,RFC,1314.635
12/29/2017 4:00:00 PM,12/29/2017 11:00:00 AM,RFC,1277.606
12/29/2017 3:00:00 PM,12/29/2017 10:00:00 AM,RFC,1339.155
12/29/2017 2:00:00 PM,12/29/2017 9:00:00 AM,RFC,1341.387
12/29/2017 1:00:00 PM,12/29/2017 8:00:00 AM,RFC,1409.877
12/29/2017 12:00:00 PM,12/29/2017 7:00:00 AM,RFC,1500.725
12/29/2017 11:00:00 AM,12/29/2017 6:00:00 AM,RFC,1505.656
12/29/2017 10:00:00 AM,12/29/2017 5:00:00 AM,RFC,1629.324
12/29/2017 9:00:00 AM,12/29/2017 4:00:00 AM,RFC,1691.129
12/29/2017 8:00:00 AM,12/29/2017 3:00:00 AM,RFC,1662.863
