datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
12/1/2020 4:00:00 AM,11/30/2020 11:00:00 PM,RFC,4437.835
12/1/2020 3:00:00 AM,11/30/2020 10:00:00 PM,RFC,4463.984
12/1/2020 2:00:00 AM,11/30/2020 9:00:00 PM,RFC,4642.025
12/1/2020 1:00:00 AM,11/30/2020 8:00:00 PM,RFC,5250.974
12/1/2020 12:00:00 AM,11/30/2020 7:00:00 PM,RFC,5770.773
11/30/2020 11:00:00 PM,11/30/2020 6:00:00 PM,RFC,6158.558
11/30/2020 10:00:00 PM,11/30/2020 5:00:00 PM,RFC,6651.832
11/30/2020 9:00:00 PM,11/30/2020 4:00:00 PM,RFC,7194.868
11/30/2020 8:00:00 PM,11/30/2020 3:00:00 PM,RFC,7577.545
11/30/2020 7:00:00 PM,11/30/2020 2:00:00 PM,RFC,7550.599
11/30/2020 6:00:00 PM,11/30/2020 1:00:00 PM,RFC,7299.277
11/30/2020 5:00:00 PM,11/30/2020 12:00:00 PM,RFC,7243.128
11/30/2020 4:00:00 PM,11/30/2020 11:00:00 AM,RFC,7426.589
11/30/2020 3:00:00 PM,11/30/2020 10:00:00 AM,RFC,7423.710
11/30/2020 2:00:00 PM,11/30/2020 9:00:00 AM,RFC,7639.956
11/30/2020 1:00:00 PM,11/30/2020 8:00:00 AM,RFC,7794.853
11/30/2020 12:00:00 PM,11/30/2020 7:00:00 AM,RFC,7831.852
11/30/2020 11:00:00 AM,11/30/2020 6:00:00 AM,RFC,7688.073
11/30/2020 10:00:00 AM,11/30/2020 5:00:00 AM,RFC,7323.252
11/30/2020 9:00:00 AM,11/30/2020 4:00:00 AM,RFC,6744.284
11/30/2020 8:00:00 AM,11/30/2020 3:00:00 AM,RFC,6340.356
11/30/2020 7:00:00 AM,11/30/2020 2:00:00 AM,RFC,6379.895
11/30/2020 6:00:00 AM,11/30/2020 1:00:00 AM,RFC,6225.123
11/30/2020 5:00:00 AM,11/30/2020 12:00:00 AM,RFC,6176.138
11/30/2020 4:00:00 AM,11/29/2020 11:00:00 PM,RFC,6147.940
11/30/2020 3:00:00 AM,11/29/2020 10:00:00 PM,RFC,5663.165
11/30/2020 2:00:00 AM,11/29/2020 9:00:00 PM,RFC,5105.392
11/30/2020 1:00:00 AM,11/29/2020 8:00:00 PM,RFC,5219.441
