datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,MIDATL,BC,BC,3940.727,True
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,RFC,MIDATL,BC,BC,3880.511,True
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,RFC,MIDATL,BC,BC,3833.069,True
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,RFC,MIDATL,BC,BC,3825.670,True
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,RFC,MIDATL,BC,BC,3875.216,True
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,RFC,MIDATL,BC,BC,3987.692,True
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,RFC,MIDATL,BC,BC,4138.885,True
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,RFC,MIDATL,BC,BC,4144.250,True
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,RFC,MIDATL,BC,BC,4051.262,True
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,RFC,MIDATL,BC,BC,3947.371,True
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,RFC,MIDATL,BC,BC,3860.092,True
1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,RFC,MIDATL,BC,BC,3775.577,True
1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,RFC,MIDATL,BC,BC,3684.308,True
1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,RFC,MIDATL,BC,BC,3619.119,True
1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,RFC,MIDATL,BC,BC,3562.061,True
1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,RFC,MIDATL,BC,BC,3583.176,True
1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,RFC,MIDATL,BC,BC,3782.378,True
1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,RFC,MIDATL,BC,BC,4194.489,True
1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,RFC,MIDATL,BC,BC,4260.830,True
1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,RFC,MIDATL,BC,BC,4213.110,True
1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,RFC,MIDATL,BC,BC,4166.464,True
1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,RFC,MIDATL,BC,BC,4040.227,True
1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,RFC,MIDATL,BC,BC,3834.830,True
1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,RFC,MIDATL,BC,BC,3629.609,True
1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,RFC,MIDATL,BC,BC,3473.197,True
1/2/2015 6:00:00 AM,1/2/2015 1:00:00 AM,RFC,MIDATL,BC,BC,3408.812,True
1/2/2015 7:00:00 AM,1/2/2015 2:00:00 AM,RFC,MIDATL,BC,BC,3385.423,True
1/2/2015 8:00:00 AM,1/2/2015 3:00:00 AM,RFC,MIDATL,BC,BC,3375.151,True
1/2/2015 9:00:00 AM,1/2/2015 4:00:00 AM,RFC,MIDATL,BC,BC,3504.644,True
1/2/2015 10:00:00 AM,1/2/2015 5:00:00 AM,RFC,MIDATL,BC,BC,3702.559,True
1/2/2015 11:00:00 AM,1/2/2015 6:00:00 AM,RFC,MIDATL,BC,BC,3958.825,True
1/2/2015 12:00:00 PM,1/2/2015 7:00:00 AM,RFC,MIDATL,BC,BC,4106.667,True
1/2/2015 1:00:00 PM,1/2/2015 8:00:00 AM,RFC,MIDATL,BC,BC,4152.833,True
1/2/2015 2:00:00 PM,1/2/2015 9:00:00 AM,RFC,MIDATL,BC,BC,4125.784,True
1/2/2015 3:00:00 PM,1/2/2015 10:00:00 AM,RFC,MIDATL,BC,BC,4037.921,True
1/2/2015 4:00:00 PM,1/2/2015 11:00:00 AM,RFC,MIDATL,BC,BC,3949.343,True
1/2/2015 5:00:00 PM,1/2/2015 12:00:00 PM,RFC,MIDATL,BC,BC,3887.948,True
1/2/2015 6:00:00 PM,1/2/2015 1:00:00 PM,RFC,MIDATL,BC,BC,3830.565,True
1/2/2015 7:00:00 PM,1/2/2015 2:00:00 PM,RFC,MIDATL,BC,BC,3820.951,True
1/2/2015 8:00:00 PM,1/2/2015 3:00:00 PM,RFC,MIDATL,BC,BC,3817.230,True
1/2/2015 9:00:00 PM,1/2/2015 4:00:00 PM,RFC,MIDATL,BC,BC,3964.375,True
1/2/2015 10:00:00 PM,1/2/2015 5:00:00 PM,RFC,MIDATL,BC,BC,4304.887,True
1/2/2015 11:00:00 PM,1/2/2015 6:00:00 PM,RFC,MIDATL,BC,BC,4323.504,True
1/3/2015 12:00:00 AM,1/2/2015 7:00:00 PM,RFC,MIDATL,BC,BC,4319.906,True
1/3/2015 1:00:00 AM,1/2/2015 8:00:00 PM,RFC,MIDATL,BC,BC,4229.118,True
1/3/2015 2:00:00 AM,1/2/2015 9:00:00 PM,RFC,MIDATL,BC,BC,4134.520,True
1/3/2015 3:00:00 AM,1/2/2015 10:00:00 PM,RFC,MIDATL,BC,BC,3958.492,True
1/3/2015 4:00:00 AM,1/2/2015 11:00:00 PM,RFC,MIDATL,BC,BC,3745.765,True
1/3/2015 5:00:00 AM,1/3/2015 12:00:00 AM,RFC,MIDATL,BC,BC,3580.400,True
1/3/2015 6:00:00 AM,1/3/2015 1:00:00 AM,RFC,MIDATL,BC,BC,3501.840,True
1/3/2015 7:00:00 AM,1/3/2015 2:00:00 AM,RFC,MIDATL,BC,BC,3487.156,True
1/3/2015 8:00:00 AM,1/3/2015 3:00:00 AM,RFC,MIDATL,BC,BC,3436.469,True
1/3/2015 9:00:00 AM,1/3/2015 4:00:00 AM,RFC,MIDATL,BC,BC,3450.198,True
1/3/2015 10:00:00 AM,1/3/2015 5:00:00 AM,RFC,MIDATL,BC,BC,3493.306,True
1/3/2015 11:00:00 AM,1/3/2015 6:00:00 AM,RFC,MIDATL,BC,BC,3617.455,True
1/3/2015 12:00:00 PM,1/3/2015 7:00:00 AM,RFC,MIDATL,BC,BC,3705.887,True
1/3/2015 1:00:00 PM,1/3/2015 8:00:00 AM,RFC,MIDATL,BC,BC,3844.350,True
1/3/2015 2:00:00 PM,1/3/2015 9:00:00 AM,RFC,MIDATL,BC,BC,4003.020,True
1/3/2015 3:00:00 PM,1/3/2015 10:00:00 AM,RFC,MIDATL,BC,BC,4089.893,True
1/3/2015 4:00:00 PM,1/3/2015 11:00:00 AM,RFC,MIDATL,BC,BC,4189.219,True
1/3/2015 5:00:00 PM,1/3/2015 12:00:00 PM,RFC,MIDATL,BC,BC,4170.922,True
