datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2019 4:00:00 AM,12/31/2018 11:00:00 PM,RFC,5167.004
1/1/2019 3:00:00 AM,12/31/2018 10:00:00 PM,RFC,5482.800
1/1/2019 2:00:00 AM,12/31/2018 9:00:00 PM,RFC,5817.290
1/1/2019 1:00:00 AM,12/31/2018 8:00:00 PM,RFC,6082.899
1/1/2019 12:00:00 AM,12/31/2018 7:00:00 PM,RFC,6146.870
12/31/2018 11:00:00 PM,12/31/2018 6:00:00 PM,RFC,6308.276
12/31/2018 10:00:00 PM,12/31/2018 5:00:00 PM,RFC,5623.777
12/31/2018 9:00:00 PM,12/31/2018 4:00:00 PM,RFC,3739.822
12/31/2018 8:00:00 PM,12/31/2018 3:00:00 PM,RFC,3654.123
12/31/2018 7:00:00 PM,12/31/2018 2:00:00 PM,RFC,3663.306
12/31/2018 6:00:00 PM,12/31/2018 1:00:00 PM,RFC,3425.478
12/31/2018 5:00:00 PM,12/31/2018 12:00:00 PM,RFC,3226.796
12/31/2018 4:00:00 PM,12/31/2018 11:00:00 AM,RFC,3092.983
12/31/2018 3:00:00 PM,12/31/2018 10:00:00 AM,RFC,3352.283
12/31/2018 2:00:00 PM,12/31/2018 9:00:00 AM,RFC,3412.542
12/31/2018 1:00:00 PM,12/31/2018 8:00:00 AM,RFC,2789.164
12/31/2018 12:00:00 PM,12/31/2018 7:00:00 AM,RFC,1899.070
12/31/2018 11:00:00 AM,12/31/2018 6:00:00 AM,RFC,1769.588
12/31/2018 10:00:00 AM,12/31/2018 5:00:00 AM,RFC,1780.972
12/31/2018 9:00:00 AM,12/31/2018 4:00:00 AM,RFC,2268.779
12/31/2018 8:00:00 AM,12/31/2018 3:00:00 AM,RFC,2612.188
12/31/2018 7:00:00 AM,12/31/2018 2:00:00 AM,RFC,2824.524
12/31/2018 6:00:00 AM,12/31/2018 1:00:00 AM,RFC,3079.146
12/31/2018 5:00:00 AM,12/31/2018 12:00:00 AM,RFC,3935.243
12/31/2018 4:00:00 AM,12/30/2018 11:00:00 PM,RFC,4408.571
12/31/2018 3:00:00 AM,12/30/2018 10:00:00 PM,RFC,4366.831
12/31/2018 2:00:00 AM,12/30/2018 9:00:00 PM,RFC,4047.497
12/31/2018 1:00:00 AM,12/30/2018 8:00:00 PM,RFC,4101.122
12/31/2018 12:00:00 AM,12/30/2018 7:00:00 PM,RFC,3895.247
12/30/2018 11:00:00 PM,12/30/2018 6:00:00 PM,RFC,3459.464
12/30/2018 10:00:00 PM,12/30/2018 5:00:00 PM,RFC,3170.542
12/30/2018 9:00:00 PM,12/30/2018 4:00:00 PM,RFC,3157.765
12/30/2018 8:00:00 PM,12/30/2018 3:00:00 PM,RFC,3318.913
12/30/2018 7:00:00 PM,12/30/2018 2:00:00 PM,RFC,3530.810
12/30/2018 6:00:00 PM,12/30/2018 1:00:00 PM,RFC,3543.409
12/30/2018 5:00:00 PM,12/30/2018 12:00:00 PM,RFC,3510.263
12/30/2018 4:00:00 PM,12/30/2018 11:00:00 AM,RFC,3049.115
12/30/2018 3:00:00 PM,12/30/2018 10:00:00 AM,RFC,2437.521
12/30/2018 2:00:00 PM,12/30/2018 9:00:00 AM,RFC,2097.076
12/30/2018 1:00:00 PM,12/30/2018 8:00:00 AM,RFC,1699.113
12/30/2018 12:00:00 PM,12/30/2018 7:00:00 AM,RFC,1476.857
12/30/2018 11:00:00 AM,12/30/2018 6:00:00 AM,RFC,1716.063
12/30/2018 10:00:00 AM,12/30/2018 5:00:00 AM,RFC,2006.170
12/30/2018 9:00:00 AM,12/30/2018 4:00:00 AM,RFC,2287.257
12/30/2018 8:00:00 AM,12/30/2018 3:00:00 AM,RFC,2552.964
12/30/2018 7:00:00 AM,12/30/2018 2:00:00 AM,RFC,2844.708
12/30/2018 6:00:00 AM,12/30/2018 1:00:00 AM,RFC,3394.871
12/30/2018 5:00:00 AM,12/30/2018 12:00:00 AM,RFC,3267.082
12/30/2018 4:00:00 AM,12/29/2018 11:00:00 PM,RFC,2861.384
12/30/2018 3:00:00 AM,12/29/2018 10:00:00 PM,RFC,2264.876
12/30/2018 2:00:00 AM,12/29/2018 9:00:00 PM,RFC,1821.073
12/30/2018 1:00:00 AM,12/29/2018 8:00:00 PM,RFC,1699.197
12/30/2018 12:00:00 AM,12/29/2018 7:00:00 PM,RFC,1809.332
12/29/2018 11:00:00 PM,12/29/2018 6:00:00 PM,RFC,1226.512
12/29/2018 10:00:00 PM,12/29/2018 5:00:00 PM,RFC,1134.995
12/29/2018 9:00:00 PM,12/29/2018 4:00:00 PM,RFC,990.382
12/29/2018 8:00:00 PM,12/29/2018 3:00:00 PM,RFC,1131.113
12/29/2018 7:00:00 PM,12/29/2018 2:00:00 PM,RFC,1390.017
12/29/2018 6:00:00 PM,12/29/2018 1:00:00 PM,RFC,1664.219
12/29/2018 5:00:00 PM,12/29/2018 12:00:00 PM,RFC,1764.513
12/29/2018 4:00:00 PM,12/29/2018 11:00:00 AM,RFC,1770.640
12/29/2018 3:00:00 PM,12/29/2018 10:00:00 AM,RFC,1848.546
12/29/2018 2:00:00 PM,12/29/2018 9:00:00 AM,RFC,2179.694
12/29/2018 1:00:00 PM,12/29/2018 8:00:00 AM,RFC,2616.998
12/29/2018 12:00:00 PM,12/29/2018 7:00:00 AM,RFC,3079.786
12/29/2018 11:00:00 AM,12/29/2018 6:00:00 AM,RFC,3194.079
12/29/2018 10:00:00 AM,12/29/2018 5:00:00 AM,RFC,3320.259
12/29/2018 9:00:00 AM,12/29/2018 4:00:00 AM,RFC,3698.521
12/29/2018 8:00:00 AM,12/29/2018 3:00:00 AM,RFC,4311.160
12/29/2018 7:00:00 AM,12/29/2018 2:00:00 AM,RFC,4830.164
12/29/2018 6:00:00 AM,12/29/2018 1:00:00 AM,RFC,5294.521
12/29/2018 5:00:00 AM,12/29/2018 12:00:00 AM,RFC,5561.279
12/29/2018 4:00:00 AM,12/28/2018 11:00:00 PM,RFC,5905.545
12/29/2018 3:00:00 AM,12/28/2018 10:00:00 PM,RFC,6048.870
12/29/2018 2:00:00 AM,12/28/2018 9:00:00 PM,RFC,6249.222
12/29/2018 1:00:00 AM,12/28/2018 8:00:00 PM,RFC,6221.584
12/29/2018 12:00:00 AM,12/28/2018 7:00:00 PM,RFC,6162.606
12/28/2018 11:00:00 PM,12/28/2018 6:00:00 PM,RFC,6266.448
12/28/2018 10:00:00 PM,12/28/2018 5:00:00 PM,RFC,6430.603
12/28/2018 9:00:00 PM,12/28/2018 4:00:00 PM,RFC,6505.689
12/28/2018 8:00:00 PM,12/28/2018 3:00:00 PM,RFC,6418.270
12/28/2018 7:00:00 PM,12/28/2018 2:00:00 PM,RFC,6144.462
12/28/2018 6:00:00 PM,12/28/2018 1:00:00 PM,RFC,6304.729
12/28/2018 5:00:00 PM,12/28/2018 12:00:00 PM,RFC,6437.986
12/28/2018 4:00:00 PM,12/28/2018 11:00:00 AM,RFC,6381.505
12/28/2018 3:00:00 PM,12/28/2018 10:00:00 AM,RFC,6337.443
12/28/2018 2:00:00 PM,12/28/2018 9:00:00 AM,RFC,6359.943
12/28/2018 1:00:00 PM,12/28/2018 8:00:00 AM,RFC,6613.929
12/28/2018 12:00:00 PM,12/28/2018 7:00:00 AM,RFC,6433.618
12/28/2018 11:00:00 AM,12/28/2018 6:00:00 AM,RFC,6330.575
12/28/2018 10:00:00 AM,12/28/2018 5:00:00 AM,RFC,6591.663
12/28/2018 9:00:00 AM,12/28/2018 4:00:00 AM,RFC,6731.980
12/28/2018 8:00:00 AM,12/28/2018 3:00:00 AM,RFC,6767.802
12/28/2018 7:00:00 AM,12/28/2018 2:00:00 AM,RFC,6728.367
12/28/2018 6:00:00 AM,12/28/2018 1:00:00 AM,RFC,6802.026
12/28/2018 5:00:00 AM,12/28/2018 12:00:00 AM,RFC,6902.794
12/28/2018 4:00:00 AM,12/27/2018 11:00:00 PM,RFC,7122.984
12/28/2018 3:00:00 AM,12/27/2018 10:00:00 PM,RFC,7219.682
12/28/2018 2:00:00 AM,12/27/2018 9:00:00 PM,RFC,7138.283
12/28/2018 1:00:00 AM,12/27/2018 8:00:00 PM,RFC,6860.345
12/28/2018 12:00:00 AM,12/27/2018 7:00:00 PM,RFC,6672.839
12/27/2018 11:00:00 PM,12/27/2018 6:00:00 PM,RFC,6871.267
12/27/2018 10:00:00 PM,12/27/2018 5:00:00 PM,RFC,7002.863
12/27/2018 9:00:00 PM,12/27/2018 4:00:00 PM,RFC,7031.189
12/27/2018 8:00:00 PM,12/27/2018 3:00:00 PM,RFC,6962.516
12/27/2018 7:00:00 PM,12/27/2018 2:00:00 PM,RFC,6013.347
12/27/2018 6:00:00 PM,12/27/2018 1:00:00 PM,RFC,6128.665
12/27/2018 5:00:00 PM,12/27/2018 12:00:00 PM,RFC,6305.922
12/27/2018 4:00:00 PM,12/27/2018 11:00:00 AM,RFC,6431.612
12/27/2018 3:00:00 PM,12/27/2018 10:00:00 AM,RFC,6534.909
12/27/2018 2:00:00 PM,12/27/2018 9:00:00 AM,RFC,6586.013
