datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
10/1/2020 3:00:00 AM,9/30/2020 11:00:00 PM,RFC,4423.965
10/1/2020 2:00:00 AM,9/30/2020 10:00:00 PM,RFC,4002.784
10/1/2020 1:00:00 AM,9/30/2020 9:00:00 PM,RFC,3916.397
10/1/2020 12:00:00 AM,9/30/2020 8:00:00 PM,RFC,3555.285
9/30/2020 11:00:00 PM,9/30/2020 7:00:00 PM,RFC,4136.031
9/30/2020 10:00:00 PM,9/30/2020 6:00:00 PM,RFC,5944.411
9/30/2020 9:00:00 PM,9/30/2020 5:00:00 PM,RFC,6930.329
9/30/2020 8:00:00 PM,9/30/2020 4:00:00 PM,RFC,6558.958
9/30/2020 7:00:00 PM,9/30/2020 3:00:00 PM,RFC,6068.226
9/30/2020 6:00:00 PM,9/30/2020 2:00:00 PM,RFC,5868.317
9/30/2020 5:00:00 PM,9/30/2020 1:00:00 PM,RFC,5651.492
9/30/2020 4:00:00 PM,9/30/2020 12:00:00 PM,RFC,5645.318
9/30/2020 3:00:00 PM,9/30/2020 11:00:00 AM,RFC,6007.144
9/30/2020 2:00:00 PM,9/30/2020 10:00:00 AM,RFC,6483.761
9/30/2020 1:00:00 PM,9/30/2020 9:00:00 AM,RFC,6472.155
9/30/2020 12:00:00 PM,9/30/2020 8:00:00 AM,RFC,6240.262
9/30/2020 11:00:00 AM,9/30/2020 7:00:00 AM,RFC,6205.793
9/30/2020 10:00:00 AM,9/30/2020 6:00:00 AM,RFC,6095.187
9/30/2020 9:00:00 AM,9/30/2020 5:00:00 AM,RFC,5780.158
9/30/2020 8:00:00 AM,9/30/2020 4:00:00 AM,RFC,5663.241
9/30/2020 7:00:00 AM,9/30/2020 3:00:00 AM,RFC,5118.737
9/30/2020 6:00:00 AM,9/30/2020 2:00:00 AM,RFC,4860.128
9/30/2020 5:00:00 AM,9/30/2020 1:00:00 AM,RFC,4246.532
9/30/2020 4:00:00 AM,9/30/2020 12:00:00 AM,RFC,3285.473
9/30/2020 3:00:00 AM,9/29/2020 11:00:00 PM,RFC,2903.042
9/30/2020 2:00:00 AM,9/29/2020 10:00:00 PM,RFC,2459.578
9/30/2020 1:00:00 AM,9/29/2020 9:00:00 PM,RFC,1905.109
9/30/2020 12:00:00 AM,9/29/2020 8:00:00 PM,RFC,1008.382
9/29/2020 11:00:00 PM,9/29/2020 7:00:00 PM,RFC,731.772
9/29/2020 10:00:00 PM,9/29/2020 6:00:00 PM,RFC,1108.205
9/29/2020 9:00:00 PM,9/29/2020 5:00:00 PM,RFC,1616.790
9/29/2020 8:00:00 PM,9/29/2020 4:00:00 PM,RFC,1671.780
9/29/2020 7:00:00 PM,9/29/2020 3:00:00 PM,RFC,1356.240
9/29/2020 6:00:00 PM,9/29/2020 2:00:00 PM,RFC,1302.790
9/29/2020 5:00:00 PM,9/29/2020 1:00:00 PM,RFC,1201.526
9/29/2020 4:00:00 PM,9/29/2020 12:00:00 PM,RFC,1163.725
9/29/2020 3:00:00 PM,9/29/2020 11:00:00 AM,RFC,740.097
9/29/2020 2:00:00 PM,9/29/2020 10:00:00 AM,RFC,574.822
9/29/2020 1:00:00 PM,9/29/2020 9:00:00 AM,RFC,754.067
9/29/2020 12:00:00 PM,9/29/2020 8:00:00 AM,RFC,1381.690
9/29/2020 11:00:00 AM,9/29/2020 7:00:00 AM,RFC,1705.478
9/29/2020 10:00:00 AM,9/29/2020 6:00:00 AM,RFC,1892.455
9/29/2020 9:00:00 AM,9/29/2020 5:00:00 AM,RFC,2041.654
9/29/2020 8:00:00 AM,9/29/2020 4:00:00 AM,RFC,2446.897
9/29/2020 7:00:00 AM,9/29/2020 3:00:00 AM,RFC,2409.627
9/29/2020 6:00:00 AM,9/29/2020 2:00:00 AM,RFC,2509.962
9/29/2020 5:00:00 AM,9/29/2020 1:00:00 AM,RFC,2611.282
9/29/2020 4:00:00 AM,9/29/2020 12:00:00 AM,RFC,2881.388
