datetime_beginning_ept,wind_generation_mw
2011-01-01 00:00,2012.000
2011-01-01 01:00,1700.000
2011-01-01 02:00,1902.000
2011-01-01 03:00,1947.000
2011-01-01 04:00,1977.000
2011-01-01 05:00,1925.000
2011-01-01 06:00,2032.000
2011-01-01 07:00,1842.000
2011-01-01 08:00,1897.000
2011-01-01 09:00,2114.000
2011-01-01 10:00,2375.000
2011-01-01 11:00,2503.000
2011-01-01 12:00,2659.000
2011-01-01 13:00,2639.000
2011-01-01 14:00,2612.000
2011-01-01 15:00,2610.000
2011-01-01 16:00,2590.000
2011-01-01 17:00,2582.000
2011-01-01 18:00,2389.000
2011-01-01 19:00,2223.000
2011-01-01 20:00,2106.000
2011-01-01 21:00,1768.000
2011-01-01 22:00,1580.000
2011-01-01 23:00,1871.000
2011-01-02 00:00,1817.000
2011-01-02 01:00,1756.000
2011-01-02 02:00,1473.000
2011-01-02 03:00,1238.000
2011-01-02 04:00,1083.000
2011-01-02 05:00,1072.000
2011-01-02 06:00,1010.000
2011-01-02 07:00,928.000
2011-01-02 08:00,989.000
2011-01-02 09:00,1033.000
2011-01-02 10:00,1006.000
2011-01-02 11:00,1133.000
2011-01-02 12:00,1400.000
2011-01-02 13:00,1529.000
2011-01-02 14:00,1548.000
2011-01-02 15:00,1679.000
2011-01-02 16:00,1715.000
2011-01-02 17:00,1688.000
2011-01-02 18:00,1909.000
2011-01-02 19:00,2137.000
2011-01-02 20:00,2379.000
2011-01-02 21:00,2493.000
2011-01-02 22:00,2605.000
2011-01-02 23:00,2694.000
2011-01-03 00:00,2762.000
2011-01-03 01:00,2621.000
2011-01-03 02:00,2604.000
2011-01-03 03:00,2602.000
2011-01-03 04:00,2521.000
2011-01-03 05:00,2416.000
2011-01-03 06:00,2164.000
2011-01-03 07:00,1952.000
2011-01-03 08:00,1736.000
2011-01-03 09:00,1555.000
2011-01-03 10:00,1254.000
2011-01-03 11:00,1019.000
2011-01-03 12:00,948.000
2011-01-03 13:00,1165.000
2011-01-03 14:00,1190.000
2011-01-03 15:00,1017.000
2011-01-03 16:00,866.000
2011-01-03 17:00,647.000
2011-01-03 18:00,788.000
2011-01-03 19:00,999.000
2011-01-03 20:00,1181.000
2011-01-03 21:00,1298.000
2011-01-03 22:00,1371.000
2011-01-03 23:00,1513.000
2011-01-04 00:00,1617.000
2011-01-04 01:00,1654.000
2011-01-04 02:00,1629.000
2011-01-04 03:00,1510.000
2011-01-04 04:00,1517.000
2011-01-04 05:00,1617.000
2011-01-04 06:00,1788.000
2011-01-04 07:00,2026.000
2011-01-04 08:00,2132.000
2011-01-04 09:00,2299.000
2011-01-04 10:00,2416.000
2011-01-04 11:00,2253.000
2011-01-04 12:00,2148.000
2011-01-04 13:00,2225.000
2011-01-04 14:00,2346.000
2011-01-04 15:00,2125.000
2011-01-04 16:00,1797.000
2011-01-04 17:00,1460.000
2011-01-04 18:00,1270.000
2011-01-04 19:00,1294.000
2011-01-04 20:00,1349.000
2011-01-04 21:00,1178.000
2011-01-04 22:00,1116.000
2011-01-04 23:00,1033.000
2011-01-05 00:00,1027.000
2011-01-05 01:00,948.000
2011-01-05 02:00,895.000
2011-01-05 03:00,850.000
2011-01-05 04:00,886.000
2011-01-05 05:00,802.000
2011-01-05 06:00,894.000
2011-01-05 07:00,966.000
2011-01-05 08:00,918.000
2011-01-05 09:00,725.000
2011-01-05 10:00,545.000
2011-01-05 11:00,548.000
2011-01-05 12:00,498.000
2011-01-05 13:00,467.000
2011-01-05 14:00,495.000
2011-01-05 15:00,543.000
2011-01-05 16:00,526.000
2011-01-05 17:00,456.000
2011-01-05 18:00,590.000
2011-01-05 19:00,752.000
2011-01-05 20:00,864.000
2011-01-05 21:00,889.000
2011-01-05 22:00,924.000
2011-01-05 23:00,835.000
2011-01-06 00:00,965.000
2011-01-06 01:00,943.000
2011-01-06 02:00,691.000
2011-01-06 03:00,644.000
2011-01-06 04:00,848.000
2011-01-06 05:00,1038.000
2011-01-06 06:00,1271.000
2011-01-06 07:00,1453.000
2011-01-06 08:00,1218.000
2011-01-06 09:00,1305.000
2011-01-06 10:00,1245.000
2011-01-06 11:00,1465.000
2011-01-06 12:00,1527.000
2011-01-06 13:00,1513.000
2011-01-06 14:00,1551.000
2011-01-06 15:00,1598.000
2011-01-06 16:00,1592.000
2011-01-06 17:00,1534.000
2011-01-06 18:00,1421.000
2011-01-06 19:00,1642.000
2011-01-06 20:00,1712.000
2011-01-06 21:00,1475.000
2011-01-06 22:00,1360.000
2011-01-06 23:00,1260.000
2011-01-07 00:00,1103.000
2011-01-07 01:00,978.000
2011-01-07 02:00,834.000
2011-01-07 03:00,805.000
2011-01-07 04:00,771.000
2011-01-07 05:00,624.000
2011-01-07 06:00,567.000
2011-01-07 07:00,488.000
2011-01-07 08:00,449.000
2011-01-07 09:00,442.000
2011-01-07 10:00,697.000
2011-01-07 11:00,821.000
2011-01-07 12:00,936.000
2011-01-07 13:00,1293.000
2011-01-07 14:00,1518.000
2011-01-07 15:00,1737.000
2011-01-07 16:00,1751.000
2011-01-07 17:00,1596.000
2011-01-07 18:00,1603.000
2011-01-07 19:00,1706.000
2011-01-07 20:00,1781.000
2011-01-07 21:00,1669.000
2011-01-07 22:00,1670.000
2011-01-07 23:00,1594.000
2011-01-08 00:00,1537.000
2011-01-08 01:00,1818.000
2011-01-08 02:00,2064.000
2011-01-08 03:00,2194.000
2011-01-08 04:00,2269.000
2011-01-08 05:00,2409.000
2011-01-08 06:00,2253.000
2011-01-08 07:00,2080.000
2011-01-08 08:00,1997.000
2011-01-08 09:00,2059.000
2011-01-08 10:00,2247.000
2011-01-08 11:00,2414.000
2011-01-08 12:00,2271.000
2011-01-08 13:00,2269.000
2011-01-08 14:00,2270.000
2011-01-08 15:00,2166.000
2011-01-08 16:00,2043.000
2011-01-08 17:00,1871.000
2011-01-08 18:00,1938.000
2011-01-08 19:00,1943.000
2011-01-08 20:00,1932.000
2011-01-08 21:00,2006.000
