datetime_date,datetime_time,mw
2015-01-01,5:00:00,1560.388
2015-01-01,6:00:00,1542.624
2015-01-01,7:00:00,1493.926
2015-01-01,8:00:00,1482.114
2015-01-01,9:00:00,1498.442
2015-01-01,10:00:00,1516.734
2015-01-01,11:00:00,1550.121
2015-01-01,12:00:00,1563.294
2015-01-01,13:00:00,1556.877
2015-01-01,14:00:00,1551.459
2015-01-01,15:00:00,1608.808
2015-01-01,16:00:00,1632.307
2015-01-01,17:00:00,1618.756
2015-01-01,18:00:00,1606.981
2015-01-01,19:00:00,1587.201
2015-01-01,20:00:00,1591.054
2015-01-01,21:00:00,1630.702
2015-01-01,22:00:00,1736.065
2015-01-01,23:00:00,1731.801
2015-01-02,0:00:00,1734.95
2015-01-02,1:00:00,1732.543
2015-01-02,2:00:00,1671.898
2015-01-02,3:00:00,1598.595
2015-01-02,4:00:00,1527.722
2015-01-02,5:00:00,1486.064
2015-01-02,6:00:00,1447.457
2015-01-02,7:00:00,1426.479
2015-01-02,8:00:00,1437.992
2015-01-02,9:00:00,1471.966
2015-01-02,10:00:00,1532.416
2015-01-02,11:00:00,1640.962
2015-01-02,12:00:00,1716.633
2015-01-02,13:00:00,1722.51
2015-01-02,14:00:00,1735.166
2015-01-02,15:00:00,1729.88
2015-01-02,16:00:00,1730.486
2015-01-02,17:00:00,1726.216
2015-01-02,18:00:00,1726.487
2015-01-02,19:00:00,1698.716
2015-01-02,20:00:00,1684.398
2015-01-02,21:00:00,1722.644
2015-01-02,22:00:00,1831.672
2015-01-02,23:00:00,1820.296
2015-01-03,0:00:00,1785.851
2015-01-03,1:00:00,1785.299
2015-01-03,2:00:00,1706.214
2015-01-03,3:00:00,1626.158
2015-01-03,4:00:00,1534.052
2015-01-03,5:00:00,1510.519
2015-01-03,6:00:00,1454.487
2015-01-03,7:00:00,1410.735
2015-01-03,8:00:00,1410.095
2015-01-03,9:00:00,1406.965
2015-01-03,10:00:00,1428.849
2015-01-03,11:00:00,1442.251
2015-01-03,12:00:00,1488.316
2015-01-03,13:00:00,1535.049
2015-01-03,14:00:00,1599.462
2015-01-03,15:00:00,1650.976
2015-01-03,16:00:00,1682.75
2015-01-03,17:00:00,1673.455
2015-01-03,18:00:00,1661.367
2015-01-03,19:00:00,1649.03
2015-01-03,20:00:00,1643.731
2015-01-03,21:00:00,1681.717
2015-01-03,22:00:00,1710.267
2015-01-03,23:00:00,1714.934
2015-01-04,0:00:00,1697.907
2015-01-04,1:00:00,1656.658
2015-01-04,2:00:00,1587.628
2015-01-04,3:00:00,1481.113
2015-01-04,4:00:00,1363.995
2015-01-04,5:00:00,1325.119
2015-01-04,6:00:00,1249.884
2015-01-04,7:00:00,1209.126
2015-01-04,8:00:00,1189.757
2015-01-04,9:00:00,1198.563
2015-01-04,10:00:00,1196.966
2015-01-04,11:00:00,1229.83
2015-01-04,12:00:00,1268.912
2015-01-04,13:00:00,1286.304
2015-01-04,14:00:00,1337.826
2015-01-04,15:00:00,1374.19
2015-01-04,16:00:00,1399.348
2015-01-04,17:00:00,1399.859
2015-01-04,18:00:00,1416.303
2015-01-04,19:00:00,1401.491
2015-01-04,20:00:00,1416.526
2015-01-04,21:00:00,1477.897
2015-01-04,22:00:00,1597.175
2015-01-04,23:00:00,1621.943
2015-01-05,0:00:00,1621.293
2015-01-05,1:00:00,1628.577
2015-01-05,2:00:00,1613.35
2015-01-05,3:00:00,1534.825
2015-01-05,4:00:00,1457.126
2015-01-05,5:00:00,1412.757
2015-01-05,6:00:00,1375.152
2015-01-05,7:00:00,1366.34
2015-01-05,8:00:00,1394.678
2015-01-05,9:00:00,1427.602
2015-01-05,10:00:00,1510.439
2015-01-05,11:00:00,1689.707
2015-01-05,12:00:00,1792.61
2015-01-05,13:00:00,1843.341
2015-01-05,14:00:00,1877.797
2015-01-05,15:00:00,1896.992
2015-01-05,16:00:00,1915.986
2015-01-05,17:00:00,1903.784
2015-01-05,18:00:00,1891.483
2015-01-05,19:00:00,1858.32
2015-01-05,20:00:00,1853.452
2015-01-05,21:00:00,1889.214
2015-01-05,22:00:00,2014.12
2015-01-05,23:00:00,2045.394
2015-01-06,0:00:00,2030.303
2015-01-06,1:00:00,1981.885
2015-01-06,2:00:00,1922.409
2015-01-06,3:00:00,1832.12
2015-01-06,4:00:00,1693.984
2015-01-06,5:00:00,1594.605
2015-01-06,6:00:00,1601.741
2015-01-06,7:00:00,1604.843
2015-01-06,8:00:00,1583.924
2015-01-06,9:00:00,1614.18
2015-01-06,10:00:00,1685.147
2015-01-06,11:00:00,1769.375
2015-01-06,12:00:00,1843.674
2015-01-06,13:00:00,1885.711
2015-01-06,14:00:00,1915.497
2015-01-06,15:00:00,1962.262
2015-01-06,16:00:00,1974.053
2015-01-06,17:00:00,1959.263
2015-01-06,18:00:00,1980.18
2015-01-06,19:00:00,1990.762
2015-01-06,20:00:00,1991.058
2015-01-06,21:00:00,1989.612
2015-01-06,22:00:00,2107.641
2015-01-06,23:00:00,2122.799
2015-01-07,0:00:00,2109.278
2015-01-07,1:00:00,2074.14
2015-01-07,2:00:00,2008.883
2015-01-07,3:00:00,1912.033
2015-01-07,4:00:00,1818.45
2015-01-07,5:00:00,1720.39
2015-01-07,6:00:00,1710.718
2015-01-07,7:00:00,1675.128
2015-01-07,8:00:00,1691.483
2015-01-07,9:00:00,1717.86
2015-01-07,10:00:00,1784.728
2015-01-07,11:00:00,1903.817
2015-01-07,12:00:00,2000.718
2015-01-07,13:00:00,2031.911
2015-01-07,14:00:00,2069.092
2015-01-07,15:00:00,2071.34
2015-01-07,16:00:00,2078.548
2015-01-07,17:00:00,2022.365
2015-01-07,18:00:00,2057.79
2015-01-07,19:00:00,2037.118
2015-01-07,20:00:00,2053.755
2015-01-07,21:00:00,2078.981
2015-01-07,22:00:00,2169.401
2015-01-07,23:00:00,2243.265
2015-01-08,0:00:00,2236.425
2015-01-08,1:00:00,2209.292
2015-01-08,2:00:00,2124.587
2015-01-08,3:00:00,2028.908
2015-01-08,4:00:00,1932.121
2015-01-08,5:00:00,1893.944
2015-01-08,6:00:00,1808.592
2015-01-08,7:00:00,1810.415
2015-01-08,8:00:00,1826.064
2015-01-08,9:00:00,1826.35
2015-01-08,10:00:00,1924.403
