datetime_date,datetime_time,mw
2017-01-01,5:00:00,1369.565
2017-01-01,6:00:00,1335.855
2017-01-01,7:00:00,1311.67
2017-01-01,8:00:00,1287.996
2017-01-01,9:00:00,1285.767
2017-01-01,10:00:00,1303.977
2017-01-01,11:00:00,1333.468
2017-01-01,12:00:00,1350.92
2017-01-01,13:00:00,1357.151
2017-01-01,14:00:00,1407.295
2017-01-01,15:00:00,1413.475
2017-01-01,16:00:00,1423.176
2017-01-01,17:00:00,1437.59
2017-01-01,18:00:00,1433.944
2017-01-01,19:00:00,1417.842
2017-01-01,20:00:00,1404.791
2017-01-01,21:00:00,1445.98
2017-01-01,22:00:00,1556.979
2017-01-01,23:00:00,1572.205
2017-01-02,0:00:00,1564.71
2017-01-02,1:00:00,1550.84
2017-01-02,2:00:00,1499.891
2017-01-02,3:00:00,1443.613
2017-01-02,4:00:00,1378.451
2017-01-02,5:00:00,1315.68
2017-01-02,6:00:00,1268.374
2017-01-02,7:00:00,1246.669
2017-01-02,8:00:00,1240.116
2017-01-02,9:00:00,1254.838
2017-01-02,10:00:00,1286.959
2017-01-02,11:00:00,1326.071
2017-01-02,12:00:00,1376.725
2017-01-02,13:00:00,1402.292
2017-01-02,14:00:00,1444.28
2017-01-02,15:00:00,1477.116
2017-01-02,16:00:00,1497.763
2017-01-02,17:00:00,1500.814
2017-01-02,18:00:00,1498.848
2017-01-02,19:00:00,1499.231
2017-01-02,20:00:00,1502.444
2017-01-02,21:00:00,1545.199
2017-01-02,22:00:00,1637.592
2017-01-02,23:00:00,1627.858
2017-01-03,0:00:00,1617.251
2017-01-03,1:00:00,1570.636
2017-01-03,2:00:00,1518.007
2017-01-03,3:00:00,1434.985
2017-01-03,4:00:00,1340.1
2017-01-03,5:00:00,1278.936
2017-01-03,6:00:00,1240.593
2017-01-03,7:00:00,1226.603
2017-01-03,8:00:00,1225.178
2017-01-03,9:00:00,1245.418
2017-01-03,10:00:00,1326.366
2017-01-03,11:00:00,1464.682
2017-01-03,12:00:00,1559.366
2017-01-03,13:00:00,1574.963
2017-01-03,14:00:00,1591.107
2017-01-03,15:00:00,1637.858
2017-01-03,16:00:00,1631.52
2017-01-03,17:00:00,1637.148
2017-01-03,18:00:00,1624.804
2017-01-03,19:00:00,1622.444
2017-01-03,20:00:00,1633.793
2017-01-03,21:00:00,1659.917
2017-01-03,22:00:00,1694.087
2017-01-03,23:00:00,1703.666
2017-01-04,0:00:00,1665.675
2017-01-04,1:00:00,1618.867
2017-01-04,2:00:00,1564.685
2017-01-04,3:00:00,1465.183
2017-01-04,4:00:00,1388.757
2017-01-04,5:00:00,1314.652
2017-01-04,6:00:00,1282.985
2017-01-04,7:00:00,1273.264
2017-01-04,8:00:00,1261.957
2017-01-04,9:00:00,1289.479
2017-01-04,10:00:00,1388.641
2017-01-04,11:00:00,1513.514
2017-01-04,12:00:00,1625.167
2017-01-04,13:00:00,1652.303
2017-01-04,14:00:00,1677.261
2017-01-04,15:00:00,1689.849
2017-01-04,16:00:00,1692.741
2017-01-04,17:00:00,1680.141
2017-01-04,18:00:00,1680.8
2017-01-04,19:00:00,1685.634
2017-01-04,20:00:00,1684.066
2017-01-04,21:00:00,1729.109
2017-01-04,22:00:00,1853.093
2017-01-04,23:00:00,1884.594
2017-01-05,0:00:00,1877.306
2017-01-05,1:00:00,1840.527
2017-01-05,2:00:00,1774.019
2017-01-05,3:00:00,1683.053
2017-01-05,4:00:00,1609.681
2017-01-05,5:00:00,1537.777
2017-01-05,6:00:00,1495.349
2017-01-05,7:00:00,1468.138
2017-01-05,8:00:00,1473.892
2017-01-05,9:00:00,1509.241
2017-01-05,10:00:00,1593.812
2017-01-05,11:00:00,1727.267
2017-01-05,12:00:00,1816.957
