datetime_date,datetime_time,mw
2020-10-02,04:00:00,1083.933
2020-10-02,05:00:00,1047.591
2020-10-02,06:00:00,1034.325
2020-10-02,07:00:00,1034.023
2020-10-02,08:00:00,1056.405
2020-10-02,09:00:00,1114.458
2020-10-02,10:00:00,1203.318
2020-10-02,11:00:00,1261.791
2020-10-02,12:00:00,1316.965
2020-10-02,13:00:00,1350.663
2020-10-02,14:00:00,1354.379
2020-10-02,15:00:00,1357.353
2020-10-02,16:00:00,1350.31
2020-10-02,17:00:00,1346.546
2020-10-02,18:00:00,1312.954
2020-10-02,19:00:00,1298.571
2020-10-02,20:00:00,1293.689
2020-10-02,21:00:00,1290.458
2020-10-02,22:00:00,1276.119
2020-10-02,23:00:00,1300.248
2020-10-03,00:00:00,1286.957
2020-10-03,01:00:00,1238.049
2020-10-03,02:00:00,1192.841
2020-10-03,03:00:00,1133.639
2020-10-03,04:00:00,1085.633
2020-10-03,05:00:00,1063.592
2020-10-03,06:00:00,1045.249
2020-10-03,07:00:00,1036.912
2020-10-03,08:00:00,1046.142
2020-10-03,09:00:00,1060.972
2020-10-03,10:00:00,1100.541
2020-10-03,11:00:00,1147.187
2020-10-03,12:00:00,1178.014
2020-10-03,13:00:00,1209.201
2020-10-03,14:00:00,1224.013
2020-10-03,15:00:00,1229.962
2020-10-03,16:00:00,1241.094
2020-10-03,17:00:00,1234.769
2020-10-03,18:00:00,1220.009
2020-10-03,19:00:00,1191.413
2020-10-03,20:00:00,1204.003
2020-10-03,21:00:00,1211.838
2020-10-03,22:00:00,1218.465
2020-10-03,23:00:00,1266.028
2020-10-04,00:00:00,1251.005
2020-10-04,01:00:00,1217.847
2020-10-04,02:00:00,1169.905
2020-10-04,03:00:00,1114.704
2020-10-04,04:00:00,1073.543
2020-10-04,05:00:00,1050.363
2020-10-04,06:00:00,1027.66
2020-10-04,07:00:00,1021.519
2020-10-04,08:00:00,1018.95
2020-10-04,09:00:00,1031.329
2020-10-04,10:00:00,1054.086
2020-10-04,11:00:00,1066.81
2020-10-04,12:00:00,1115.384
2020-10-04,13:00:00,1157.324
2020-10-04,14:00:00,1183.673
2020-10-04,15:00:00,1197.036
2020-10-04,16:00:00,1206.954
2020-10-04,17:00:00,1209.946
2020-10-04,18:00:00,1204.347
2020-10-04,19:00:00,1210.323
2020-10-04,20:00:00,1226.958
2020-10-04,21:00:00,1256.308
2020-10-04,22:00:00,1277.086
2020-10-04,23:00:00,1302.659
2020-10-05,00:00:00,1282.656
2020-10-05,01:00:00,1231.916
2020-10-05,02:00:00,1157.576
2020-10-05,03:00:00,1112.04
2020-10-05,04:00:00,1066.965
2020-10-05,05:00:00,1028.948
2020-10-05,06:00:00,1015.8
2020-10-05,07:00:00,1004.943
2020-10-05,08:00:00,1030.392
2020-10-05,09:00:00,1073.487
2020-10-05,10:00:00,1164.747
2020-10-05,11:00:00,1251.516
